binary;function;function count;common linux file;networking;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/bin/acltd (-rwxrwxr-x 501 502);printf;3;false;yes;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/bin/acltd (-rwxrwxr-x 501 502);strcpy;11;false;yes;
