binary;function;function count;common linux file;networking;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libdl-0.9.30.so (-rwxr-xr-x 501 502);fprintf;6;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libthreadutil.so.2.2.3 (-rwxr-xr-x 501 502);fprintf;1;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libpthread-0.9.30.so (-rwxrwxr-x 501 502);mmap;1;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libuClibc-0.9.30.so (-rwxrwxr-x 501 502);fprintf;16;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libdl-0.9.30.so (-rwxr-xr-x 501 502);printf;6;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/ld-uClibc-0.9.30.so (-rwxr-xr-x 501 502);printf;21;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libthreadutil.so.2.2.3 (-rwxr-xr-x 501 502);printf;15;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libuClibc-0.9.30.so (-rwxrwxr-x 501 502);printf;38;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libuClibc-0.9.30.so (-rwxrwxr-x 501 502);sprintf;14;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libuClibc-0.9.30.so (-rwxrwxr-x 501 502);strcat;1;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libuClibc-0.9.30.so (-rwxrwxr-x 501 502);strcpy;22;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/usr/bin/ushare (-rwxr-xr-x 501 502);fprintf;3;false;yes;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libcrypt-0.9.30.so (-rwxrwxr-x 501 502);strcat;1;false;no;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libupnp.so.3.0.5 (-rwxr-xr-x 501 502);printf;51;false;yes;
/logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libntfs-3g.so.83.0.0 (-rwxrwxr-x 501 502);fprintf;10;false;no;
