Entity;data;Notes;
Firmware path;/firmware;NA;
SHA512;7c0968f5dee31c6af0fb1bf26719c45f492831dcf1bbd5fc3f6b970eccb3191ca48d4c35dd0a08810ad935b5294d61908eeca16c12854536873fca6a1a12b9df;NA;
SHA1;52738d25655fbbdd515983754d0fa1ccad6d8c8a;NA;
MD5;14958859f10412232801ca2ae6a9b52b;NA;
Entropy;4.607654 bits per byte.;NA;
