BINARY;VERSION;CVE identifier;CVSS rating;exploit db exploit available;metasploit module;trickest PoC;Routersploit;Snyk PoC;Packetstormsecurity PoC;local exploit;remote exploit;DoS exploit;known exploited vuln;kernel vulnerability verified;FIRST EPSS;FIRST PERC;
openssl;1.0.0d;CVE-2013-0166;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;80;
openssl;1.0.0d;CVE-2013-6450;5.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;2;90;
openssl;0.9.8b;CVE-2010-0433;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;8;94;
openssl;1.0.0d;CVE-2011-4619;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;18;96;
openssl;1.0.0d;CVE-2012-2333;6.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;4;92;
openssl;0.9.8b;CVE-2010-4180;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;61;
openssl;1.0.0d;CVE-2012-0884;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;82;
openssl;0.9.8b;CVE-2009-1378;5.0 (v2);6;0;0;0/0;0;1;0;0;0;0;no;7;94;
openssl;1.0.0d;CVE-2014-0221;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;96;99;
openssl;1.0.0d;CVE-2014-3506;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;88;98;
openssl;1.0.0d;CVE-2014-0198;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;4;92;
openssl;0.9.8b;CVE-2009-1377;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;5;93;
openssl;1.0.0d;CVE-2014-3470;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;96;99;
openssl;1.0.0d;CVE-2013-6449;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;92;98;
openssl;1.0.0d;CVE-2014-3505;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;88;98;
openssl;1.0.0d;CVE-2014-0224;7.4;6;1;0;0/0;1;0;0;0;0;0;no;97;99;
openssl;1.0.0d;CVE-2014-0195;6.8 (v2);6;1;0;0/0;0;0;0;0;0;0;no;96;99;
openssl;0.9.8b;CVE-2011-1945;2.6 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;78;
openssl;1.0.0d;CVE-2014-3507;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;92;99;
openssl;0.9.8b;CVE-2010-5298;4.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;2;90;
openssl;0.9.8b;CVE-2011-3210;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;30;96;
openssl;1.0.0d;CVE-2014-3509;6.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;2;90;
openssl;1.0.0d;CVE-2014-3510;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;1;87;
openssl;0.9.8b;CVE-2011-1473;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;59;97;
openssl;1.0.0d;CVE-2014-3508;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;46;97;
openssl;1.0.0d;CVE-2014-3511;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;80;
openssl;1.0.0d;CVE-2012-2110;7.5 (v2);12;0;0;0/0;0;0;0;0;0;0;no;9;94;
openssl;0.9.8b;CVE-2011-4108;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;76;
openssl;0.9.8b;CVE-2011-4109;9.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;3;91;
openssl;1.0.0d;CVE-2014-3512;7.5 (v2);6;0;0;0/0;0;0;0;0;0;0;no;91;98;
openssl;0.9.8b;CVE-2011-4354;5.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;79;
openssl;1.0.0d;CVE-2014-3567;7.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;92;99;
openssl;0.9.8b;CVE-2009-1386;5.0 (v2);12;1;0;0/0;0;1;0;0;0;0;no;6;93;
openssl;0.9.8b;CVE-2011-4576;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;82;
openssl;0.9.8b;CVE-2011-4577;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;10;95;
