bpalogin;2.0.2;0;0
xl2tpd;1.1.12;0;0
iptables;1.4.5;1;0
vsftpd;2.3.2;3;1
busybox;1.01;16;0
zlib;1.1.4;5;1
openssl;1.0.0d;69;6
openssl;0.9.8b;88;10
linux_kernel;2.6.30.9;1946;150
